date,areaType,areaCode,areaName,numbOfCases,numbofNewCases
31/12/2020,utla,N09000001,Antrim and Newtownabbey,5054,137
31/12/2020,utla,N09000006,Fermanagh and Omagh,3747,89
31/12/2020,utla,N09000008,Mid and East Antrim,4774,93
31/12/2020,utla,W06000011,Swansea,14288,136
31/12/2020,utla,N09000007,Lisburn and Castlereagh,4982,114
31/12/2020,utla,S12000014,Falkirk,2927,74
31/12/2020,utla,N09000011,Ards and North Down,3461,70
31/12/2020,utla,S12000035,Argyll and Bute,925,13
31/12/2020,utla,W06000022,Newport,8443,110
31/12/2020,utla,E08000019,Sheffield,30176,180
31/12/2020,utla,W06000009,Pembrokeshire,2211,22
31/12/2020,utla,E06000022,Bath and North East Somerset,5019,72
31/12/2020,utla,E10000013,Gloucestershire,13629,301
31/12/2020,utla,W06000021,Monmouthshire,3148,45
31/12/2020,utla,S12000006,Dumfries and Galloway,2031,127
31/12/2020,utla,W06000001,Isle of Anglesey,1203,8
31/12/2020,utla,N09000005,Derry City and Strabane,9004,180
31/12/2020,utla,W06000023,Powys,2554,58
31/12/2020,utla,W06000006,Wrexham,7010,197
31/12/2020,utla,S12000050,North Lanarkshire,12839,216
31/12/2020,utla,E09000019,Islington,8957,244
31/12/2020,utla,E08000032,Bradford,33957,177
31/12/2020,utla,W06000013,Bridgend,10028,159
31/12/2020,utla,W06000018,Caerphilly,10543,115
31/12/2020,utla,E08000028,Sandwell,17643,394
31/12/2020,utla,S12000017,Highland,1398,75
31/12/2020,utla,S12000018,Inverclyde,1688,73
31/12/2020,utla,W06000024,Merthyr Tydfil,5508,44
31/12/2020,utla,N09000004,Causeway Coast and Glens,4879,95
31/12/2020,utla,E08000014,Sefton,13054,301
31/12/2020,utla,S12000042,Dundee City,4442,81
31/12/2020,utla,W06000003,Conwy,2311,22
31/12/2020,utla,E08000009,Trafford,10903,114
31/12/2020,utla,W06000002,Gwynedd,1780,10
31/12/2020,utla,E10000030,Surrey,40420,1178
31/12/2020,utla,S12000028,South Ayrshire,2515,29
31/12/2020,utla,E06000044,Portsmouth,7989,183
31/12/2020,utla,S12000026,Scottish Borders,1789,135
31/12/2020,utla,N09000009,Mid Ulster,7060,195
31/12/2020,utla,S12000008,East Ayrshire,3598,63
31/12/2020,utla,W06000020,Torfaen,4846,51
31/12/2020,utla,S12000038,Renfrewshire,6329,127
31/12/2020,utla,N09000003,Belfast,15020,251
31/12/2020,utla,E06000051,Shropshire,7719,132
31/12/2020,utla,E08000008,Tameside,12142,109
31/12/2020,utla,S12000045,East Dunbartonshire,3255,39
31/12/2020,utla,E06000027,Torbay,2363,23
31/12/2020,utla,N09000002,"Armagh City, Banbridge and Craigavon",7985,263
31/12/2020,utla,E08000007,Stockport,13225,181
31/12/2020,utla,W06000005,Flintshire,5413,163
31/12/2020,utla,N09000010,"Newry, Mourne and Down",6556,205
31/12/2020,utla,E06000031,Peterborough,7800,120
31/12/2020,utla,E06000006,Halton,6280,193
31/12/2020,utla,E06000046,Isle of Wight,2449,200
31/12/2020,utla,S12000039,West Dunbartonshire,2623,36
