date,areaType,areaCode,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
31/10/2020,utla,E06000050,Cheshire West and Chester,5991,80
31/10/2020,utla,E06000001,Hartlepool,2368,44
31/10/2020,utla,E08000015,Wirral,8136,64
31/10/2020,utla,E09000007,Camden,2403,25
31/10/2020,utla,S12000018,Inverclyde,684,15
31/10/2020,utla,E06000014,York,4455,44
31/10/2020,utla,E08000024,Sunderland,7556,78
31/10/2020,utla,E06000004,Stockton-on-Tees,4786,80
31/10/2020,utla,E06000015,Derby,4396,108
31/10/2020,utla,E08000001,Bolton,10824,222
31/10/2020,utla,E06000056,Central Bedfordshire,2407,39
31/10/2020,utla,E06000032,Luton,3520,60
31/10/2020,utla,N09000006,Fermanagh and Omagh,1449,25
31/10/2020,utla,E06000007,Warrington,6092,95
31/10/2020,utla,E09000029,Sutton,2050,21
31/10/2020,utla,E06000022,Bath and North East Somerset,2217,40
31/10/2020,utla,E08000021,Newcastle upon Tyne,11668,118
31/10/2020,utla,E06000012,North East Lincolnshire,2323,100
31/10/2020,utla,E06000045,Southampton,2386,58
31/10/2020,utla,E09000023,Lewisham,2895,24
31/10/2020,utla,E06000025,South Gloucestershire,3179,74
31/10/2020,utla,E06000040,Windsor and Maidenhead,1496,35
31/10/2020,utla,W06000004,Denbighshire,1499,19
31/10/2020,utla,E06000024,North Somerset,2112,43
31/10/2020,utla,E06000030,Swindon,2388,39
31/10/2020,utla,E06000002,Middlesbrough,3628,71
31/10/2020,utla,W06000003,Conwy,1504,12
31/10/2020,utla,W06000020,Torfaen,1127,18
31/10/2020,utla,E06000047,County Durham,12688,165
31/10/2020,utla,W06000002,Gwynedd,1187,7
31/10/2020,utla,E10000012,Essex,12763,131
31/10/2020,utla,N09000004,Causeway Coast and Glens,2059,35
31/10/2020,utla,E10000031,Warwickshire,7304,137
31/10/2020,utla,E09000026,Redbridge,4158,68
31/10/2020,utla,E09000003,Barnet,4499,61
31/10/2020,utla,W06000005,Flintshire,2210,29
31/10/2020,utla,E08000032,Bradford,19730,321
31/10/2020,utla,E09000010,Enfield,3700,43
31/10/2020,utla,E06000018,Nottingham,13746,135
31/10/2020,utla,E06000026,Plymouth,2376,46
31/10/2020,utla,S12000026,Scottish Borders,734,17
31/10/2020,utla,E09000009,Ealing,4945,75
31/10/2020,utla,E08000009,Trafford,6295,103
31/10/2020,utla,W06000013,Bridgend,2556,66
31/10/2020,utla,E06000033,Southend-on-Sea,1479,26
31/10/2020,utla,N09000005,Derry City and Strabane,5469,46
31/10/2020,utla,E08000023,South Tyneside,3702,44
31/10/2020,utla,E06000044,Portsmouth,2549,37
31/10/2020,utla,E06000035,Medway,2186,44
31/10/2020,utla,S12000049,Glasgow City,13902,151
31/10/2020,utla,E06000027,Torbay,1033,18
31/10/2020,utla,E09000019,Islington,2260,31
31/10/2020,utla,E08000016,Barnsley,7191,152
31/10/2020,utla,E09000027,Richmond upon Thames,2035,24
31/10/2020,utla,E08000008,Tameside,7539,123
31/10/2020,utla,E10000019,Lincolnshire,7858,169
31/10/2020,utla,E06000037,West Berkshire,1066,10
31/10/2020,utla,E08000019,Sheffield,19195,258
31/10/2020,utla,W06000011,Swansea,4793,85
31/10/2020,utla,E06000054,Wiltshire,3021,56
31/10/2020,utla,N09000008,Mid and East Antrim,1814,29
31/10/2020,utla,E06000046,Isle of Wight,630,5
31/10/2020,utla,E08000036,Wakefield,8163,163
31/10/2020,utla,E06000041,Wokingham,1316,16
31/10/2020,utla,E10000025,Oxfordshire,7069,114
31/10/2020,utla,S12000017,Highland,621,4
31/10/2020,utla,W06000009,Pembrokeshire,600,2
31/10/2020,utla,E09000005,Brent,3996,59
31/10/2020,utla,E08000033,Calderdale,4857,93
31/10/2020,utla,S12000039,West Dunbartonshire,1522,26
31/10/2020,utla,E06000034,Thurrock,1659,34
31/10/2020,utla,N09000002,"Armagh City, Banbridge and Craigavon",3410,59
31/10/2020,utla,E10000007,Derbyshire,12502,280
31/10/2020,utla,E09000024,Merton,2100,20
31/10/2020,utla,E08000011,Knowsley,6466,63
31/10/2020,utla,E06000023,"Bristol, City of",8507,183
31/10/2020,utla,E09000012,Hackney and City of London,3579,52
31/10/2020,utla,E06000042,Milton Keynes,2134,51
31/10/2020,utla,E06000057,Northumberland,5351,64
31/10/2020,utla,E06000055,Bedford,2360,25
31/10/2020,utla,E09000013,Hammersmith and Fulham,2550,33
31/10/2020,utla,E08000027,Dudley,4794,147
31/10/2020,utla,E06000059,Dorset,2008,34
31/10/2020,utla,E10000013,Gloucestershire,4465,75
31/10/2020,utla,E10000011,East Sussex,3179,29
31/10/2020,utla,W06000023,Powys,938,13
31/10/2020,utla,S12000019,Midlothian,1038,7
31/10/2020,utla,E06000009,Blackpool,3815,41
31/10/2020,utla,E10000027,Somerset,2916,61
